id,Compound,smiles,CAS_RN,logS,Ref_logS,mp,Ref_mp,logPN,Ref_logP,GSE,diff_logS
SolCbio3-70,"2,2',3,4,5'-Hexachlorobiphenyl",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,38380-02-8,-6.97,10.1016/S0045-6535(02)00118-2,112,10.1016/S0045-6535(02)00118-2,6.85,Kenneth,-7.22,0.25
SolCbio3-71,"2,2',3,3',5,5'-Hexachlorobiphenyl",Clc1cc(Cl)c(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,35694-04-3,-6.96,10.1016/S0045-6535(02)00118-2,65,10.1016/S0045-6535(02)00118-2,7.07,Kenneth,-6.97,0.01
SolCbio3-72,Di(2-ethylhexyl)-phthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,117-81-7,-6.96,10.1016/S0045-6535(02)00118-2,-50,10.1016/S0045-6535(02)00118-2,7.6,Kenneth,-6.35,0.61
SolCbio3-73,Dichlorodiphenyldichloroethylene,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,72-55-9,-6.9,10.1016/S0045-6535(02)00118-2,89,10.1016/S0045-6535(02)00118-2,6.51,Kenneth,-6.65,0.25
SolCbio3-74,"2,3',4,4'-Tetrachlorobiphenyl",Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,32598-10-0,-6.89,10.1016/S0045-6535(02)00118-2,128,10.1016/S0045-6535(02)00118-2,6.31,Kenneth,-6.84,0.05
SolCbio3-75,2-Ethylanthracene,CCc1ccc2cc3ccccc3cc2c1,52251-71-5,-6.89,10.1016/S0045-6535(02)00118-2,150,10.1016/S0045-6535(02)00118-2,5.85,Kenneth,-6.6,0.29
SolCbio3-76,"2,2',4,4'-Tetrachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)cc2Cl)c(Cl)c1,28076-73-5,-6.82,10.1016/S0045-6535(02)00118-2,69,10.1016/S0045-6535(02)00118-2,5.95,Kenneth,-5.89,0.93
SolCbio3-77,"2,2',4,5,5'-Pentachlorobiphenyl",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,37680-73-2,-6.77,10.1016/S0045-6535(02)00118-2,77,10.1016/S0045-6535(02)00118-2,6.24,Kenneth,-6.26,0.51
SolCbio3-78,"3,4,5-Trichlorodiphenyl ether",Clc1cc(Oc2ccccc2)cc(Cl)c1Cl,63646-53-7,-6.77,10.1016/S0045-6535(02)00118-2,54,10.1016/S0045-6535(02)00118-2,5.7,Kenneth,-5.49,1.28
SolCbio3-79,Triphenylene,c1ccc2c(c1)c1ccccc1c1ccccc21,217-59-4,-6.74,10.1016/S0045-6535(02)00118-2,199,10.1016/S0045-6535(02)00118-2,5.49,Kenneth,-6.73,0.01
