"","descs","meanYES","meanNO","diff_m","rsdYES","rsdNO","diff_rsd","welchs_p"
"71","PEOE_VSA_6_rdkit",22.1469241187487,24.0897000663037,1.94277594755502,0.756924648239109,0.482572017393113,0.897669580125537,0.0305825096611678
"72","PEOE_VSA_8_rdkit",10.6985536946223,9.56897827558718,1.12957541903513,0.410072364661568,0.241930667902573,0.476119514755397,0.0177862689019209
"73","PEOE_VSA_9_rdkit",9.83613459413131,7.20116631824178,2.63496827588952,0.34793504023794,0.195709563400119,0.399200482754771,5.59535254952601e-11
"74","PEOE_VSA_10_rdkit",6.7439837446455,4.37838198263101,2.36560176201449,0.316735375440413,0.152206965179829,0.35140896161685,2.44023876406317e-11
"75","PEOE_VSA_11_rdkit",2.82078391192492,2.17689744498958,0.64388646693534,0.173137502274382,0.106546328898577,0.203294650435212,0.00156658354665228
"76","PEOE_VSA_12_rdkit",2.3969574887154,1.71763111125271,0.67932637746269,0.185709032865081,0.0897980684781984,0.20628024139529,0.00101514458409277
"77","PEOE_VSA_13_rdkit",1.66375508945486,1.18219229319552,0.481562796259346,0.113159721192005,0.0684761029764013,0.132265260666159,0.000280074368649635
"78","PEOE_VSA_14_rdkit",3.76954110095512,2.68135028466383,1.08819081629129,0.193354772131362,0.0968880467533132,0.216271499531592,5.47830267364073e-07
"79","SMR_VSA_6_rdkit",9.98382180882439,7.03089118843139,2.95293062039299,0.410706527058916,0.234431066799784,0.472903559353999,5.46267113475124e-10
"80","SMR_VSA_10_rdkit",19.5205369805474,16.5294773076285,2.99105967291883,0.63225719707558,0.366376889084169,0.730740164565259,4.46742040768218e-05
"81","SlogP_VSA_1_rdkit",4.58210924874301,3.7209654362301,0.861143812512911,0.20638988243349,0.11164924846266,0.234653655955296,0.000251103803868866
"82","SlogP_VSA_3_rdkit",8.63615665974697,6.10417707378436,2.53197958596261,0.313628398016518,0.167343567873366,0.355480859894025,1.63677686752058e-12
"83","SlogP_VSA_5_rdkit",20.5372062533983,18.0480746805008,2.48913157289756,0.771910527413424,0.459273363778361,0.898208152383378,0.00564813664681429
"84","SlogP_VSA_10_rdkit",3.20983299167255,2.70649351985257,0.503339471819977,0.195397724942403,0.116714293145849,0.227601619364191,0.0271395782905231
"85","MQNs_6_rdkit",0.286617492096944,0.152987158012284,0.133630334084661,0.0210869834556463,0.0103899844012279,0.0235077146298074,1.58972809194263e-08
"86","MQNs_7_rdkit",0.0400421496311907,0.0189838079285315,0.0210583417026592,0.00687142469847616,0.00332084306024533,0.0076318068645379,0.00586813025913188
"87","MQNs_8_rdkit",0.629083245521602,0.48464544946957,0.144437796052032,0.0314780721710493,0.0181434290446754,0.036332534251067,7.33995794680363e-05
"88","MQNs_9_rdkit",0.807165437302424,0.610273590173088,0.196891847129336,0.0478017486607534,0.0264566168782994,0.0546347851800568,0.000323593574657753
"89","MQNs_11_rdkit",0.17913593256059,0.128419877163596,0.0507160553969943,0.0181861359720094,0.0111485895125089,0.0213313522710315,0.0175407974297664
"90","MQNs_26_rdkit",4.49104320337197,3.61920714684534,0.871836056526632,0.103885244023901,0.0495789182986199,0.115109569826173,6.56829646982506e-14
"91","MQNs_28_rdkit",1.11485774499473,0.845896147403685,0.268961597591046,0.0471552321137826,0.0249111684359443,0.0533308750026539,5.13794550585536e-07
"92","MQNs_29_rdkit",0.265542676501581,0.162479061976549,0.103063614525031,0.0178011710085935,0.00957175141433052,0.0202113857618652,3.84097257060222e-07
"93","MQNs_34_rdkit",0.0252897787144362,0.00949190396426577,0.0157978747501705,0.00551801508047581,0.00229181293944006,0.00597502275960045,0.00829352197255824
"94","MQNs_35_rdkit",0.340358271865121,0.266331658291457,0.0740266135736639,0.0211665404194231,0.012759810341445,0.0247150802806044,0.00278357272912168
"95","dbonds_Obabel",1.54056902002107,1.178671133445,0.361897886576072,0.0538382019348598,0.0286682774498903,0.0609952630908551,3.68356738383968e-09
